iteration,trace_id,trace_family,step_index,step_name,output_anchor_precheck_ms,lineage_resolution_ms,resource_origin_verification_ms,action_coverage_check_ms,precommit_check_ms,total_step_ms,total_trace_ms,replay_total_ms
0,TRC-V06-001,benign_internal_summary,0,S01,0.0022470012481790036,0.009056999260792509,,,0.22162300228956155,0.23437400159309618,0.35000000207219273,0.35000000207219273
0,TRC-V06-001,benign_internal_summary,1,S02,0.0011029987945221364,0.008666000212542713,,,0.0973109999904409,0.10767899948405102,0.35000000207219273,0.35000000207219273
0,TRC-V06-002,action_escalation_external_email,0,S01,0.0019310027710162103,0.007926002581370994,,,0.15487800192204304,0.16593300097156316,0.3336199988552835,0.3336199988552835
0,TRC-V06-002,action_escalation_external_email,1,S02,0.0010889998520724475,0.008926999726099893,,,0.10705200111260638,0.11765599992941134,0.3336199988552835,0.3336199988552835
0,TRC-V06-002,action_escalation_external_email,2,S03,0.000805001036496833,0.005634999979520217,,,0.03316899892524816,0.04011100099887699,0.3336199988552835,0.3336199988552835
0,TRC-V06-003,resource_expansion_file_b,0,S01,0.0020700026652775705,0.007934999302960932,,,0.15518399959546514,0.16609500016784295,0.20220800070092082,0.20220800070092082
0,TRC-V06-003,resource_expansion_file_b,1,S02,0.0009689974831417203,0.0034430013329256326,,,0.022967000404605642,0.027968999347649515,0.20220800070092082,0.20220800070092082
0,TRC-V06-004,resource_origin_free_text,0,S01,0.0024940018192864954,0.007828002708265558,,,0.16011200204957277,0.17161000141641125,0.31536399910692126,0.31536399910692126
0,TRC-V06-004,resource_origin_free_text,1,S02,0.0013380013115238398,0.007925998943392187,,,0.0882500025909394,0.09814100121730007,0.31536399910692126,0.31536399910692126
0,TRC-V06-004,resource_origin_free_text,2,S03,0.00074800118454732,0.005680998583557084,,,0.02840899833245203,0.03533799826982431,0.31536399910692126,0.31536399910692126
0,TRC-V06-005,purpose_drift_external_sharing,0,S01,0.0017610000213608146,0.0066119973780587316,,,0.14008600192028098,0.14956100130802952,0.20128200048930012,0.20128200048930012
0,TRC-V06-005,purpose_drift_external_sharing,1,S02,0.0008999995770864189,0.007628001185366884,,,0.03563499922165647,0.0447429993073456,0.20128200048930012,0.20128200048930012
0,TRC-V06-006,delegation_amplification_subagent,0,S01,0.001992000761674717,0.007464997906936333,,,0.20064999989699572,0.21133699920028448,0.36223599818185903,0.36223599818185903
0,TRC-V06-006,delegation_amplification_subagent,1,S02,0.0010689982445910573,0.008966999303083867,,,0.09520599996903911,0.10587599899736233,0.36223599818185903,0.36223599818185903
0,TRC-V06-006,delegation_amplification_subagent,2,S03,0.0008110000635497272,0.005633002729155123,,,0.028629998269025236,0.03554299837560393,0.36223599818185903,0.36223599818185903
0,TRC-V06-007,condition_weakening_external_workspace,0,S01,0.0015700024960096925,0.006686001142952591,,,0.1288130006287247,0.13779200162389316,0.18783899940899573,0.18783899940899573
0,TRC-V06-007,condition_weakening_external_workspace,1,S02,0.000976997398538515,0.008148999768309295,,,0.03405000097700395,0.04377400182420388,0.18783899940899573,0.18783899940899573
0,TRC-V06-008,invalid_output_anchor,0,S01,0.001338998117716983,0.007053000445012003,,,0.1257639996765647,0.1350839993392583,0.15396100206999108,0.15396100206999108
0,TRC-V06-008,invalid_output_anchor,1,S02,0.012364998838165775,,,,,0.012715998309431598,0.15396100206999108,0.15396100206999108
0,TRC-V06-009,forged_predecessor,0,S01,0.001767999492585659,0.007434002327499911,,,0.14459600060945377,0.15498599896091036,0.17919600213645026,0.17919600213645026
0,TRC-V06-009,forged_predecessor,1,S02,0.0010519979696255177,0.007003000064287335,,,0.008511000487487763,0.01707699993858114,0.17919600213645026,0.17919600213645026
0,TRC-V06-010,multi_predecessor_unsupported,0,S01,0.0017759994079824537,0.006250000296859071,,,0.12995500219403766,0.13882799976272509,0.23457600036635995,0.23457600036635995
0,TRC-V06-010,multi_predecessor_unsupported,1,S02,0.0009209979907609522,0.0032530006137676537,,,0.06620299973292276,0.07098599962773733,0.23457600036635995,0.23457600036635995
0,TRC-V06-010,multi_predecessor_unsupported,2,S03,0.0006259979272726923,0.006959999154787511,,,0.00871399970492348,0.016838999727042392,0.23457600036635995,0.23457600036635995
0,TRC-V06-011,delegation_only_subagent,0,S01,0.002277000021422282,0.006674999895039946,,,0.1409519973094575,0.15078899741638452,0.20291300097596832,0.20291300097596832
0,TRC-V06-011,delegation_only_subagent,1,S02,0.0008849965524859726,0.0075930001912638545,,,0.03505700078676455,0.04410800102050416,0.20291300097596832,0.20291300097596832
0,TRC-V06-012,lineage_only_forged_anchor,0,S01,0.0018499995348975062,0.006136997399153188,,,0.12397300088196062,0.13273899821797386,0.15179299953160807,0.15179299953160807
0,TRC-V06-012,lineage_only_forged_anchor,1,S02,0.0008419992809649557,0.004835001163883135,,,0.006930000381544232,0.01306799822486937,0.15179299953160807,0.15179299953160807
0,TRC-V06-013,multi_predecessor_aggregate_only,0,S01,0.0016560006770305336,0.00626499968348071,,,0.13234399739303626,0.14107799870544113,0.24008699983824044,0.24008699983824044
0,TRC-V06-013,multi_predecessor_aggregate_only,1,S02,0.000805001036496833,0.0031670024327468127,,,0.0687079991621431,0.07321700104512274,0.24008699983824044,0.24008699983824044
0,TRC-V06-013,multi_predecessor_aggregate_only,2,S03,0.0007070011633913964,0.007615002687089145,,,0.008946000889409333,0.01777600118657574,0.24008699983824044,0.24008699983824044
0,TRC-V06-014,benign_multistep_internal_chain,0,S01,0.0015359983080998063,0.006235997716430575,,,0.13335699986782856,0.1419929976691492,0.38353099807864055,0.38353099807864055
0,TRC-V06-014,benign_multistep_internal_chain,1,S02,0.0008879978850018233,0.007724996976321563,,,0.08363300003111362,0.09282600149163045,0.38353099807864055,0.38353099807864055
0,TRC-V06-014,benign_multistep_internal_chain,2,S03,0.0007820017344783992,0.0031319978006649762,,,0.06162999852676876,0.06600900087505579,0.38353099807864055,0.38353099807864055
0,TRC-V06-014,benign_multistep_internal_chain,3,S04,0.0005660003807861358,0.005303998477756977,,,0.0666009982523974,0.07295500108739361,0.38353099807864055,0.38353099807864055
0,TRC-V06-015,benign_repeat_read_summarize,0,S01,0.0016470003174617887,0.007361999450949952,,,0.13169900194043294,0.14166400069370866,0.33663599970168434,0.33663599970168434
0,TRC-V06-015,benign_repeat_read_summarize,1,S02,0.0010410003596916795,0.0030390001484192908,,,0.05944399890722707,0.06414200106519274,0.33663599970168434,0.33663599970168434
0,TRC-V06-015,benign_repeat_read_summarize,2,S03,0.000562002242077142,0.019178001821273938,,,0.1026559984893538,0.12278999929549173,0.33663599970168434,0.33663599970168434
0,TRC-V06-016,benign_single_predecessor_summarize,0,S01,0.0019789986254181713,0.0070690002758055925,,,0.13459600086207502,0.1445300003979355,0.330323997332016,0.330323997332016
0,TRC-V06-016,benign_single_predecessor_summarize,1,S02,0.0008419992809649557,0.0028889990062452853,,,0.07546599954366684,0.07976399865583517,0.330323997332016,0.330323997332016
0,TRC-V06-016,benign_single_predecessor_summarize,2,S03,0.0007109993021003902,0.007157999789342284,,,0.08859800072968937,0.09689700164017268,0.330323997332016,0.330323997332016
0,TRC-V06-017,benign_internal_finalize_metadata,0,S01,0.0012399978004395962,0.00565799928153865,,,0.11946300219278783,0.1276260009035468,0.3314950008643791,0.3314950008643791
0,TRC-V06-017,benign_internal_finalize_metadata,1,S02,0.0007870003173593432,0.00630400245427154,,,0.1900710012705531,0.19761899966397323,0.3314950008643791,0.3314950008643791
0,TRC-V06-018,action_escalation_first_hop,0,S01,0.0018409991753287613,0.007037000614218414,,,0.05387499913922511,0.06362799831549637,0.06906999988132156,0.06906999988132156
0,TRC-V06-019,action_escalation_last_hop,0,S01,0.006299000233411789,0.007380000170087442,,,0.13956099792267196,0.1543059988762252,0.3242070015403442,0.3242070015403442
0,TRC-V06-019,action_escalation_last_hop,1,S02,0.0009260002116207033,0.007872997230151668,,,0.11439099762355909,0.1237619981111493,0.3242070015403442,0.3242070015403442
0,TRC-V06-019,action_escalation_last_hop,2,S03,0.0008019997039809823,0.005605001206276938,,,0.030223000067053363,0.0371450005332008,0.3242070015403442,0.3242070015403442
0,TRC-V06-020,resource_expansion_first_hop,0,S01,0.001981999957934022,0.007221999112516642,,,0.03157199898851104,0.04161000106250867,0.04740399890579283,0.04740399890579283
0,TRC-V06-021,resource_expansion_mid_step,0,S01,0.002011001924984157,0.0068829976953566074,,,0.1622789968678262,0.1719799984130077,0.204798998311162,0.204798998311162
0,TRC-V06-021,resource_expansion_mid_step,1,S02,0.000833999365568161,0.0030800001695752144,,,0.02154300091206096,0.026006000553024933,0.204798998311162,0.204798998311162
0,TRC-V06-022,resource_origin_last_hop,0,S01,0.0017730017134454101,0.005579997377935797,,,0.11904600251000375,0.12709600196103565,0.14738299796590582,0.14738299796590582
0,TRC-V06-022,resource_origin_last_hop,1,S02,0.0008509996405337006,0.005407000571722165,,,0.007304999599000439,0.014083001588005573,0.14738299796590582,0.14738299796590582
0,TRC-V06-023,purpose_drift_mid_step,0,S01,0.0017829988792072982,0.006059999577701092,,,0.12217699986649677,0.13079999916953966,0.26455300030647777,0.26455300030647777
0,TRC-V06-023,purpose_drift_mid_step,1,S02,0.000857999111758545,0.006869999197078869,,,0.08723399878363125,0.09547199806547724,0.26455300030647777,0.26455300030647777
0,TRC-V06-023,purpose_drift_mid_step,2,S03,0.0007070011633913964,0.005432000762084499,,,0.024411998310824856,0.030966999474912882,0.26455300030647777,0.26455300030647777
0,TRC-V06-024,purpose_drift_final_hop,0,S01,0.001781998435035348,0.006893998943269253,,,0.12669699935941026,0.13621600010083057,0.2659919991856441,0.2659919991856441
0,TRC-V06-024,purpose_drift_final_hop,1,S02,0.0010320000001229346,0.007491998985642567,,,0.08142099977703765,0.09043600221048109,0.2659919991856441,0.2659919991856441
0,TRC-V06-024,purpose_drift_final_hop,2,S03,0.0007320013537537307,0.005137000698596239,,,0.02468000093358569,0.030982002499513328,0.2659919991856441,0.2659919991856441
0,TRC-V06-025,condition_weakening_first_hop,0,S01,0.0018749997252598405,0.006940997991478071,,,0.04398300006869249,0.053627001761924475,0.058464000176172704,0.058464000176172704
0,TRC-V06-026,condition_weakening_final_hop,0,S01,0.0019889994291588664,0.006196001777425408,,,0.134828998852754,0.14383799862116575,0.1923260024341289,0.1923260024341289
0,TRC-V06-026,condition_weakening_final_hop,1,S02,0.0011429983715061098,0.007484999514417723,,,0.032638999982737005,0.04179800089332275,0.1923260024341289,0.1923260024341289
0,TRC-V06-027,delegation_mid_step_spawn,0,S01,0.0019219987734686583,0.007558999641332775,,,0.14275799912866205,0.15335100033553317,0.20272999972803518,0.20272999972803518
0,TRC-V06-027,delegation_mid_step_spawn,1,S02,0.0008679999154992402,0.008448998414678499,,,0.031993997254176065,0.04183999772067182,0.20272999972803518,0.20272999972803518
0,TRC-V06-028,lineage_missing_producer_binding,0,S01,0.0018780010577756912,0.007809001544956118,,,0.1437600003555417,0.15435800014529377,0.17786700118449517,0.17786700118449517
0,TRC-V06-028,lineage_missing_producer_binding,1,S02,0.0010370022209826857,0.005916997906751931,,,0.00873099997988902,0.016275000234600157,0.17786700118449517,0.17786700118449517
0,TRC-V06-029,lineage_orphan_anchor_ref,0,S01,0.0015119985619094223,0.005916997906751931,,,0.12338799933786504,0.13162999675842002,0.16451800183858722,0.16451800183858722
0,TRC-V06-029,lineage_orphan_anchor_ref,1,S02,0.0008090028131846339,0.01785899803508073,,,0.007454000297002494,0.026739002350950614,0.16451800183858722,0.16451800183858722
0,TRC-V06-030,output_anchor_mid_observed_mismatch,0,S01,0.0015370023902505636,0.005870999302715063,,,0.137795002956409,0.1459240011172369,0.1628259997232817,0.1628259997232817
0,TRC-V06-030,output_anchor_mid_observed_mismatch,1,S02,0.011103998986072838,,,,,0.011415999324526638,0.1628259997232817,0.1628259997232817
0,TRC-V06-031,output_anchor_final_observed_mismatch,0,S01,0.001958000211743638,0.006496000423794612,,,0.13929999840911478,0.1486450019001495,0.2658260018506553,0.2658260018506553
0,TRC-V06-031,output_anchor_final_observed_mismatch,1,S02,0.0008889983291737735,0.007746999472146854,,,0.08732700007385574,0.09651000073063187,0.2658260018506553,0.2658260018506553
0,TRC-V06-031,output_anchor_final_observed_mismatch,2,S03,0.012250999134266749,,,,,0.01251299909199588,0.2658260018506553,0.2658260018506553
0,TRC-V06-032,multi_predecessor_pre_commit,0,S01,0.0017290003597736359,0.00624699896434322,,,0.12055799743393436,0.12929399963468313,0.3130369987047743,0.3130369987047743
0,TRC-V06-032,multi_predecessor_pre_commit,1,S02,0.0008340030035469681,0.0032940006349235773,,,0.06871500227134675,0.07342700337176211,0.3130369987047743,0.3130369987047743
0,TRC-V06-032,multi_predecessor_pre_commit,2,S03,0.000652999005978927,0.007105998520273715,,,0.07696800093981437,0.08518400136381388,0.3130369987047743,0.3130369987047743
0,TRC-V06-032,multi_predecessor_pre_commit,3,S04,0.0006059999577701092,0.0063400002545677125,,,0.008900999091565609,0.01633099964237772,0.3130369987047743,0.3130369987047743
